# === Skript's variable storage ===
# Please do not modify this file manually!
#
# version: 2.15.2

bb::ai::hold, long, 00000000000000D4
bb::ai::need::1, boolean, 00
bb::ai::need::2, boolean, 00
bb::ai::need::3, boolean, 00
bb::ai::need::4, boolean, 01
bb::ai::throws, long, 0000000000000001
bb::b::aidone, boolean, 00
bb::b::aihold, boolean, 01
bb::b::air, boolean, 00
bb::b::bumped, boolean, 00
bb::b::d, double, 4031EDE4D513728D
bb::b::exit, double, 400132ED4D0A4A99
bb::b::ground, boolean, 00
bb::b::h, double, 0000000000000000
bb::b::hbp, boolean, 00
bb::b::holderpos, string, 8006ED8FACEC8898
bb::b::id, long, 00000000000003C5
bb::b::idx, long, 0000000000000002
bb::b::judged, string, 800462616C6C
bb::b::la, long, 0000000000000007
bb::b::live, boolean, 00
bb::b::loc, location, 8605776F726C6480FF0000000181046E616D65208005776F726C64017809C091D62152BCA037017909402C1879B4623F7E017A09C077C3F837E540C60570697463680800000000037961770800000000
bb::b::mode, string, 8004706C6179
bb::b::noselft, long, 0000000000000000
bb::b::q, double, 3FE8748DC0FFCAA4
bb::b::seq, long, 00000000000003C5
bb::b::spray, double, 401CA5168BAFA53C
bb::b::swung, boolean, 01
bb::b::t, long, 0000000000000000
bb::b::vel, vector, 8301780900000000000000000179090000000000000000017A090000000000000000
bb::b::vh, double, 3FA879B7B5537A66
bb::b::vy, long, 0000000000000000
bb::b::zh, double, 3FF59FA797FE3A70
bb::b::zs, double, 3FE283DE036E15DA
bb::ball::live, boolean, 00
bb::d::angl, double, C046800000000003
bb::d::angr, double, 40467FFFFFFFFFFE
bb::d::basedist, double, 4042FFFFFFFFFFFF
bb::d::fwd, vector, 830178093FE6A09E667F3BCD0179090000000000000000017A09BFE6A09E667F3BCD
bb::d::pos::1루수, location, 8605776F726C6480FF0000000181046E616D65208005776F726C64017809C091401D9AE343B00179094028000000000000017A09C0780394180D575A0570697463680800000000037961770800000000
bb::d::pos::2루수, location, 8605776F726C6480FF0000000181046E616D65208005776F726C64017809C09114D2025AADA00179094028000000000000017A09C0791728FF785F270570697463680800000000037961770800000000
bb::d::pos::3루수, location, 8605776F726C6480FF0000000181046E616D65208005776F726C64017809C091C71AF9FCAA2A0179094028000000000000017A09C07A1F899472F1420570697463680800000000037961770800000000
bb::d::pos::우익수, location, 8605776F726C6480FF0000000181046E616D65208005776F726C64017809C090947F617D3ADE0179094028000000000000017A09C0792D586361B0C70570697463680800000000037961770800000000
